recommendation_id,game,verdict,excerpt,source_url
232635132,meltopia,negative,"I normally love this kind of thing, but what a massive waste of time. Starts off great but",https://steamcommunity.com/profiles/76561197999920602/recommended/3601800/
230218520,meltopia,negative,TL;DR - A great concept completely undone by terrible progression and bafflingly bad choices in level design. Do,https://steamcommunity.com/profiles/76561198025457267/recommended/3601800/
224743310,meltopia,negative,"Despite sharing some mechanics with your Keep Digging/A Game About Digging a Hole, etc., and indeed adding a",https://steamcommunity.com/profiles/76561198058762117/recommended/3601800/
225106238,meltopia,negative,"What I liked: the intro was funny to me, the animations for upgrading the meltgun and the teslagun",https://steamcommunity.com/profiles/76561199058814874/recommended/3601800/
227029201,meltopia,negative,"Game have solid start, but the more you play the more bugs you encounter. Had to drop it",https://steamcommunity.com/profiles/76561198063463639/recommended/3601800/
231912584,meltopia,negative,"The beginning is great but then after about 1,5 hours or so you unlock a new tool which",https://steamcommunity.com/profiles/76561198003950698/recommended/3601800/
225657714,meltopia,negative,"Has no settings to reduce motion sickness, which made it unplayable for me. Character movement and camera control",https://steamcommunity.com/profiles/76561198022897290/recommended/3601800/
232842897,meltopia,negative,"Once you get the Tesla gun, you need a lot of resilience towards tedious tasks. It slows the",https://steamcommunity.com/profiles/76561197978037893/recommended/3601800/
224555981,meltopia,negative,"I was having a ton of fun, played for 90 minutes, saved, took a nap. Came back and",https://steamcommunity.com/profiles/76561197995175176/recommended/3601800/
224775894,meltopia,negative,"Ok, crashed twice in 30 minutes , crashed HARD. Almost caused a fire. Why ? Because the devs",https://steamcommunity.com/profiles/76561198081189142/recommended/3601800/
232261687,meltopia,negative,"I really wanted to like this game, I've played dozens of similar games, but this one is unfortunately",https://steamcommunity.com/profiles/76561198012507724/recommended/3601800/
232044169,meltopia,negative,"This is a game about melting ice, thats about it. (TLDR, The Dev made a voxel digging system",https://steamcommunity.com/profiles/76561197996108978/recommended/3601800/
232193258,meltopia,negative,I was enjoing myself until I got the Tesla gun. It is complete ass. Slow and uses up,https://steamcommunity.com/profiles/76561198051145994/recommended/3601800/
234140844,meltopia,negative,"Decently fun, but disrespects your time in a very bad way. So much running back and forth and",https://steamcommunity.com/profiles/76561197963914507/recommended/3601800/
224668382,meltopia,negative,"I played for just under 2 hours, hoping the gameplay loop would feel a little better as I",https://steamcommunity.com/profiles/76561198044989441/recommended/3601800/
224740922,meltopia,negative,"Liked it fine until I ran into the New, Harder Snow that took Flamethrower But Different to melt.",https://steamcommunity.com/profiles/76561198014397294/recommended/3601800/
