key,screen,copy,condition,actions,source,decision,proposal,user_verdict,notes,evidence
startup.title,Startup,"SOMETHING
DOWN THERE",MainMenu; all builds,Navigation only,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,"White title, left-aligned frame",UNREVIEWED,,Source traced; runtime coverage listed in screens.md
startup.subtitle,Startup,,Hidden; routine copy removed in 122,None,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
startup.continue,Startup,Continue,First row; enabled with any checkpoint; skipped for keyboard focus when absent,Load existing slot; failure opens recovery/error; never generate world,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,First action; same neutral style as siblings; no initial painted focus,UNREVIEWED,Keyboard navigation reveals focus; pointer hover remains visible,Source traced; runtime coverage listed in screens.md
startup.new,Startup,New Game,Second row; always enabled on startup,Empty profile starts; existing checkpoint opens Cancel-first replacement,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Moved below Continue,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
startup.settings,Startup / Pause,Settings,Startup and Pause; enabled,Open Display category,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,MERGE,Shared Settings entry; five categories,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
startup.quit,Startup,Quit,Startup; always enabled,Exit without creating a world,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
startup.saved-note,Startup,,Hidden; routine copy removed in 122,None,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
startup.empty-note,Startup,No saved game,No checkpoint; Continue disabled,New Game,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
startup.replace-title,New game confirmation,Start a new game?,New Game with existing checkpoint,Cancel / Start New Game,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
startup.replace-subtitle,New game confirmation,,Hidden; dialog has one heading and body,None,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 123: shared components and immediate settings,UNREVIEWED,,Current views and component rules in design-system.md / common-settings.md
startup.replace-body,New game confirmation,"Your excavation, finds and upgrades will be reset.",Same,Cancel / Start New Game; Cancel focused; Escape cancels,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 123: shared components and immediate settings,UNREVIEWED,,Current views and component rules in design-system.md / common-settings.md
startup.replace-actions,New game confirmation,"Cancel
Start New Game",Same; explicit action required,Cancel -> startup; confirm -> first checkpoint before gameplay; existing files archived,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
pause.title,Pause,Paused,Escape/focus loss from play,Resume / Settings / Save and quit,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
pause.resume,Pause,Resume,"Paused, application focused; default action",Restore play after fresh-action barrier,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
pause.exit,Pause,Save and quit,Persistence attached,Wait for current checkpoint before exit,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
pause.checkpoint,Pause,,Hidden; pause save timestamp removed,None,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 123: quiet Pause and shared components,UNREVIEWED,,Task123/pause.png; common-settings.md
pause.developer,Pause,Developer admin,Development build only; normal Pause action,Open admin,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Same button style as Resume/Settings,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
settings.camera-title,Settings / Accessibility,Settings,Accessibility category from startup or Pause,Five category tabs; FOV; steady crosshair; Back; Reset category; Retry if error,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
settings.controls-title,Settings / Controls,Settings,Controls tab,Five category tabs; mouse options; bindings; mode; Back; Reset category; conditional Retry,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
settings.mode.hold,Settings / Controls,Hold,Hold digging mode; inside Controls scroll area,Native dropdown selection; keyboard Left/Right also selects mode,unity/Assets/Runtime/UI/Toolkit/ToolkitInputSettings.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
settings.mode.toggle,Settings / Controls,Toggle,Toggle digging mode; inside Controls scroll area,Native dropdown selection; keyboard Left/Right also selects mode,unity/Assets/Runtime/UI/Toolkit/ToolkitInputSettings.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
